Country,Region,LifeExp,GDP,HIV
Israel,MENA,81.618,26957.71866,0.2
Italy,EuCA,81.855,26559.13559,0.3
Jamaica,Amer,73.127,6969.56361,1.7
Japan,EAP,83.394,30487.93851,0.06
Jordan,MENA,73.403,NA,NA
Kazakhstan,EuCA,67.017,11523.6711,0.1
Kenya,SSA,57.134,1496.46728,6.3
Korea_Dem._Rep.,EAP,68.846,NA,NA
Korea_Rep.,EAP,80.642,26206.25048,0.06
Kuwait,MENA,74.576,NA,NA
Kyrgyzstan,EuCA,67.714,2111.7187,0.3
Laos,EAP,67.484,2578.50148,0.2
Latvia,EuCA,73.339,13854.82343,0.7
Lebanon,MENA,72.64,13488.89028,0.1
Lesotho,SSA,48.196,1874.84701,23.6
Liberia,SSA,56.786,425.3637,1.5
Libya,MENA,74.788,NA,NA
Lithuania,EuCA,72.231,16400.33254,0.1
Luxembourg,EuCA,79.963,70061.72973,0.3
Macao_China,EAP,80.934,NA,NA
Macedonia_FYR,EuCA,74.847,NA,NA
Madagascar,SSA,66.718,976.32003,0.2
Malawi,SSA,54.21,865.54532,11
Malaysia,EAP,74.221,13836.95592,0.5
Maldives,SAs,76.848,5818.92352,0.06
Mali,SSA,51.444,1116.709,1
Malta,EuCA,79.634,22116.1479,0.1
Martinique,Amer,80.499,NA,NA
Mauritania,SSA,58.582,1838.79354,0.7
Mauritius,SSA,73.373,12771.75529,1
Mayotte,SSA,77.433,NA,NA
Mexico,Amer,76.954,11684.30345,0.3
Micronesia_Fed._Sts.,EAP,68.978,NA,NA
Moldova,EuCA,69.317,2964.13511,0.4
Mongolia,EAP,68.498,3865.37088,0.06
Montenegro,EuCA,74.573,NA,NA
Morocco,MENA,72.15,4409.3795,0.1
Mozambique,SSA,50.239,999.71135,11.5
Myanmar,EAP,65.193,1590.14816,0.6
Namibia,SSA,62.465,5338.59697,13.1
Nepal,SAs,68.795,1306.70646,0.4
Netherlands,EuCA,80.734,36895.83657,0.2
Netherlands_Antilles,Amer,76.652,NA,NA
New_Caledonia,EAP,76.521,NA,NA
New_Zealand,EAP,80.654,24031.04992,0.1
Nicaragua,Amer,74.044,2887.96299,0.2
Niger,SSA,54.675,668.02722,0.8
Nigeria,SSA,51.879,2396.61972,3.6
Norway,EuCA,81.097,46882.0523,0.1
Oman,MENA,72.974,24334.00491,0.1
Pakistan,SAs,65.437,2640.2578,0.1
Panama,Amer,76.128,12502.25326,0.9
Papua_New_Guinea,EAP,62.791,2203.59974,0.9
Paraguay,Amer,72.477,4687.69177,0.3
Peru,Amer,73.99,8864.58029,0.4
Philippines,EAP,68.749,3441.4236,0.06
Poland,EuCA,76.126,17928.33417,0.1
Portugal,EuCA,79.499,19905.95479,0.6
Puerto_Rico,Amer,79.158,NA,NA
Qatar,MENA,78.371,93818.23864,0.06
Reunion,SSA,77.653,NA,NA
Romania,EuCA,73.979,10964.41656,0.1
Russia,EuCA,68.823,14737.6336,1
Rwanda,SSA,55.442,1123.54933,2.9
Saint_Lucia,Amer,74.641,NA,NA
Saint_Vincent_and_the_Grenad,ines     Amer,72.283,NA,NA
Samoa,EAP,72.444,NA,NA
Sao_Tome_and_Principe,SSA,64.666,NA,NA
Saudi_Arabia,MENA,73.911,NA,NA
Senegal,SSA,59.318,1766.99899,0.9
Serbia,EuCA,74.522,9719.43347,0.1
Sierra_Leone,SSA,47.794,924.40833,1.6
Singapore,EAP,81.126,49683.2671,0.1
Slovak_Republic,EuCA,75.446,20364.90799,0.06
Slovenia,EuCA,79.341,24873.73192,0.06
Solomon_Islands,EAP,67.852,NA,NA
Somalia,SSA,51.219,943.03545,0.7
South_Africa,SSA,52.797,9482.09066,17.8
South_Sudan,SSA,59.4,NA,NA
Spain,EuCA,81.404,26766.86177,0.4
Sri_Lanka,SAs,74.941,4901.33843,0.06
Sudan,SSA,61.452,3181.92589,1.1
Suriname,Amer,70.563,8706.31397,1
Swaziland,SSA,48.718,4728.59382,25.9
Sweden,EuCA,81.439,34395.31413,0.1
Switzerland,EuCA,82.338,37942.46843,0.4
Syria,MENA,75.85,NA,NA
Tajikistan,EuCA,67.529,1842.56944,0.2
Tanzania,SSA,58.199,1348.36498,5.6
Thailand,EAP,74.126,7982.61119,1.3
Timor-Leste,EAP,62.475,NA,NA
Togo,SSA,57.062,933.18013,3.2
Tonga,EAP,72.317,NA,NA
Trinidad_and_Tobago,Amer,70.124,17459.84975,1.5
Tunisia,MENA,74.515,7520.82553,0.06
Turkey,EuCA,73.979,9148.33115,0.06
Turkmenistan,EuCA,64.986,NA,NA
Uganda,SSA,54.116,1277.8056,6.5
Ukraine,EuCA,68.494,6379.58112,1.1
United_Arab_Emirates,MENA,76.546,NA,NA
United_Kingdom,EuCA,80.17,31330.47724,0.2
United_States,Amer,78.531,41728.14089,0.6
Uruguay,Amer,77.005,12741.79202,0.5
Uzbekistan,EuCA,68.287,2947.204,0.1
Vanuatu,EAP,71.017,NA,NA
Venezuela,Amer,74.402,NA,NA
Vietnam,EAP,75.181,2961.8346,0.4
Virgin_Islands_(U.S.),Amer,79.407,NA,NA
West_Bank_and_Gaza,MENA,72.832,NA,NA
Western_Sahara,MENA,67.301,NA,NA
Yemen_Rep.,MENA,65.493,NA,NA
Zambia,SSA,49.025,1476.93483,13.5
Zimbabwe,SSA,51.384,511.25841,14.3
